No,base_url,section,section_url,group,group_url,url,sub_urls,title,title_kanji,title_kana,description,文字数,ステータス,修正後回答,用語(Kanji),用語(Hiragana),類義(synonyms1),類義(synonyms2),類義(synonyms3),類義(synonyms4),類義(synonyms5),類義(synonyms6),類義(synonyms7),類義(synonyms8),類義(synonyms9),類義(synonyms10),,,,,メモ(memo),受領日
21,http://h-sougi.com/,,,い(2),http://h-sougi.com/category/word_i2,http://h-sougi.com/archives/149,,インターネット葬（いんたーねっとそう）,インターネット葬,いんたーねっとそう,"インターネットの急速な普及には目をみはるものがあります。「インターネット葬」も、そんな時代の流れで生み出されたもののひとつと言えるかもしれません。
インターネット葬は、
。遠方に住んでいて会場まで行けない、ケガ等で入院中…などの事情で、葬儀に駆けつけたい気持ちはあっても、葬儀会場に行けないときでも、気持ちのうえで参列することができるもので、パソコンの向こう側にいても、冥福を祈る気持ちには変わりはないと思います。
今では多くの家庭にパソコンがありますが、そういった環境の中、「インターネット墓参り」も新しい時代の供養方法として広がりを見せています。「お墓参りしたいけど、車で何時間もかかる所にあるので行けなくて…」といった悩みを解消するのがインターネット墓参りです。
お墓参りを気にかけながら生活するよりも、いつでもインターネットで墓参りできるほうが、心も落ち着くかもしれませんね。",392,修正中,遠方に住んでいて会場まで行けない、入院中などの事情で葬儀に駆けつけたい気持ちはあっても、葬儀式場に行けないといった際に、インターネットを通して、葬儀式場から中継されるご葬儀を見守ることをいいます。,インターネット葬,いんたーねっとそう,,,,,,,,,,,,,,,,17/5/18
420,http://souzoku-sougi.com/publics/index/139/,あ行,http://souzoku-sougi.com/publics/index/139/#page139_368_631,,,http://souzoku-sougi.com/publics/index/139/#page139_130_383,,インフォームド・コンセント,インフォームド・コンセント,,医療情報の本人への開示と治療方法への同意。どういう「死に方」をするかは患者本人が決定する（死の自己決定権）という考え方から、最近は本人への癌の告知も増加しています。,82,修正中,本人への医療情報の開示と治療方法への同意のことをいいます。どの様な「死に方」をするかは患者本人が決定するという考え方から、最近は本人への癌の告知も増加しています。,インフォームドコンセント,いんふぉーむどこんせんと,,,,,,,,,,,,,,,掲載する？,20/4/18
31,http://h-sougi.com/,,,え,http://h-sougi.com/category/word_e,http://h-sougi.com/archives/160,,エコ葬儀（えこそうぎ）,エコ葬儀,えこそうぎ,"地球環境が問題となっている昨今、葬儀業界でも“地球にやさしい葬儀”が取り上げられるようになりました。
葬儀の中でエコ対策ができるものは無いか…と考え、
棺といえば木製のイメージですが、皆さんもご存知のとおり、私たち人間が原因となって、地球上から森林が減少しつつあります。ふだん私たちが何気なく使い捨てている割り箸でさえも、もとをたどれば貴重な森林だったのです。
日本は火葬率がほぼ100％ですが、紙製の棺の燃焼時間はおよそ10分のため、排ガスも木製と比較すると三分の一程度となります。紙も木材から作られるのですが、木製にくらべて消費量は少なくて済みます。
「紙製の棺」というとダンボール箱のようなものをイメージされるかもしれませんが、そんな事はありません。
費用のほうは、木製より少々高めになっていますが、これは売上の一部が森林再生事業のために寄付されるためです。このようなエコの趣旨に賛同してくれる人や企業が増えてくれば、棺以外のエコ製品の開発がもっとすすんでくると思います。
私たち人間も地球の一部ですから、やはり、どんなときでも地球に優しくありたいものですね。",483,修正中,「地球にやさしい葬儀」のことをエコ葬儀をいいます。棺を通常よく利用されている木製から特殊な紙製に変えて燃焼時間を短縮し、CO2の排出量を減らすこと。また、葬儀の際に出す料理に無駄が出ないよう配慮し、残飯を減らすことなど。,エコ葬儀,えこそうぎ,,,,,,,,,,,,,,,,17/5/18
421,http://www.osohshiki.jp/knowledge/words/,,,え,http://www.osohshiki.jp/knowledge/words/e.html,,,エンディングノート（遺言ノート）(えんでぃんぐのーと),,,自分に万が一のことが起こった時のために、家族へのメッセージ、葬儀・葬式や法事などついての希望や財産について伝えておきたいことを記しておくノートのこと。また死後の希望だけでなく、家族との思い出、感謝の気持ちなどを形にします。,111,修正中,エンディングノートは、万が一の際に備えて葬儀の希望を記しておくノートです。,エンディングノート,えんでぃんぐのーと,終活ノート,しゅうかつのーと,遺言ノート,,,,,,,,,,,,葬祭No147,20/4/18
32,http://h-sougi.com/,,,え,http://h-sougi.com/category/word_e,http://h-sougi.com/archives/161,,エンディングプラン（えんでぃんぐぷらん）,エンディングプラン,えんでぃんぐぷらん,"ライフプランを人生設計とすると、「エンディングプラン」は、自分は人生の最後をどのような形でしめくくりたいかを示したもの、と考えられます。
自分が死んだらどのような葬儀を望んでいるのか、病気やケガで意識不明になってしまったら、介護や治療についてどのように考えているのか等を書き示し、ご家族、または対処する方へ遺すものを「エンディングノート」と言います。書いたものをまとめて一冊の本のように装丁する専門業者もありますが、ふだん思いついたことを、ノートに少しずつ書き留めておいたものでも十分に役割をはたします。
葬儀、介護、治療については、なかなか話し合う機会をもてないものです。自分らしい人生のエンディングを迎えるため、そして遺される人たちへの思いやりとして、エンディングプランをお勧め致します。",346,修正中,エンディングプランとは自身の人生の終末とその後について考え、具体的に何をどうするかを決めていく計画のことをいいます。,エンディングプラン,えんでぃんぐぷらん,,,,,,,,,,,,,,,,17/5/18
422,https://www.e-sogi.com/glossary/,,,え,https://www.e-sogi.com/glossary/#え,https://www.e-sogi.com/glossary/#1461741391-130338,url:http://www.e-sogi.com/arekore/emberming.html title:エンバーミングとは？,エンバーミング,,,"遺体衛生保全の総称で、ご遺体を殺菌消毒し、血液を抜き防腐溶液を入れ、長期間保存する技術。
エンバーミングを施すことにより長期間の保全ができる。
ドライアイスも通常は必要ないため、体が硬くなったり、極端に冷たくなったりすることもなく、生前と変わらない様子を保てるのが特長。感染症により亡くなった方の場合でも一定の効果がある。
北米では一般的で、エンバーミングを施すエンバマーもアメリカ人がほとんどだったが、近年、日本の施術者も増えている。",218,修正中,遺体衛生保全の総称で、ご遺体を殺菌消毒し、血液を抜き防腐溶液を入れ、長期間保存する技術のことをエンバーミングと言います。エンバーミングを施すことにより長期間の保全ができます。,エンバーミング,えんばーみんぐ,遺体衛生保全,いたいえいせいほぜん,,,,,,,,,,,,,,20/4/18
423,https://kotobank.jp/dictionary/sougi/,,,葬儀辞典,,https://kotobank.jp/word/%E3%81%8A%E6%82%94%E3%82%84%E3%81%BF%E3%81%AE%E6%8C%A8%E6%8B%B6-1457150,"url:https://kotobank.jp/dictionary/sougi/word/%E5%93%80%E6%82%BC-421661 title:哀悼
url:https://kotobank.jp/dictionary/sougi/word/%E9%87%8D%E3%81%AD%E8%A8%80%E8%91%89-461716 title:重ね言葉
url:https://kotobank.jp/dictionary/sougi/word/%E9%A0%AD%E8%AA%9E-580134 title:頭語",お悔やみの挨拶,,,型にこだわることなく、心からの哀悼をこめた自分の言葉で述べましょう。宗教の違いによる言葉の使い方や重ね言葉・忌み言葉にも、気を配りましょう。＜例：頭語■ご愁傷様でございます。■この度は、突然の知らせを受け、取り急ぎお参りに上がりました。心からお悔やみを申し上げます。■この度は、本当に突然のことで驚いております。＜例：結び■せめて、なにかお手伝いでもさせてください。■お疲れが出ませんように、お身体にお気をつけてください。,211,修正中,お悔やみの挨拶は型にこだわることなく、心からの哀悼をこめた自分の言葉で述べましょう。宗教の違いによる言葉の使い方や重ね言葉・忌み言葉にも、気を配りましょう。,お悔やみの挨拶,おくやみのあいさつ,,,,,,,,,,,,,,,,20/4/18
38,https://www.aeonlife.jp/glossary/,あ行,https://www.aeonlife.jp/glossary/word/a_list.html,あ,,https://www.aeonlife.jp//glossary/word/otoki.html,,お斎 （おとき）,お斎,おとき,初七日など法事のあとで行う会食。元来は僧の食事。「斎」の意味は神仏をまつる前に飲食や行いを謹んで心身を清めたり、神事を行うことをいいます。関東では、通夜振る舞いや精進落としの宴席を「お清め」と呼ぶこともあり、地方によっては、「出立ちの膳」といい、出棺前に食事を出すこともあります。,140,修正中,初七日など法事のあとで行う会食をお斎と言います。元来は僧の食事のこと。関東では、通夜振る舞いや精進落としの宴席を「お清め」と呼ぶこともあり、地方によっては、「出立ちの膳」といい、出棺前に食事を出すこともあります。,お斎,おとき,,,,,,,,,,,,,,,,20/4/18
425,http://www.kisarazu-souzoku.com/sougi/words.html,あ行,,,,,,お清め,,,死穢は伝染すると考えられ、払うために通夜や告別式から帰ってきたら玄関に入る前に水で手を洗ったり、塩をまいたりして身体を清めることをいいます。最近では死を穢れとは捕らえない考えもあり、お清めは不要とする人も多くなっています。また、浄土真宗ではお清めは行いません。,130,修正中,本来は死の穢れけがれを払うという行為。死穢は伝染すると考えられ、これを払うために飲食を行った名残で葬儀後や通夜後の飲食を指して関東方面で使用されることが多いです。,お清め,おきよめ,,,,,,,,,,,,,,,葬祭No1427,17/5/18
37,https://www.aeonlife.jp/glossary/,あ行,https://www.aeonlife.jp/glossary/word/a_list.html,あ,,https://www.aeonlife.jp//glossary/word/odaimoku.html,,お題目 （おだいもく）,お題目,おだいもく,日蓮宗で唱える南無妙法蓮華経の七字。「法華経」に帰依し、南無妙法蓮華経と唱えること。これを唱題といい、この行を唱題行といいます。,64,修正中,日蓮宗で唱える南無妙法蓮華経の七字。「法華経」に帰依し、南無妙法蓮華経と唱えることをいいます。,お題目,おだいもく,,,,,,,,,,,,,,,,20/4/18
